ID,learning_rate,crop_ratios,num_crops_per_image,batch_size,_target_,include_background,weight,lambda_dice,lambda_ce,expand_xy,perf_status,perf_case_count,rim_case_count,n_rim_voxels,lesion_case_count,n_lesion_voxels,perf_sensitivity,perf_specificity,perf_fpr,perf_fnr,perf_precision,perf_npv,perf_accuracy,perf_f1,perf_tp,perf_fp,perf_tn,perf_fn,perf_sensitivity_mean,perf_sensitivity_std,perf_specificity_mean,perf_specificity_std,perf_precision_mean,perf_precision_std,perf_f1_mean,perf_f1_std,perf_prl_dice_mean,perf_prl_dice_std,perf_lesion_dice_mean,perf_lesion_dice_std
roi_train2/stage3_numcrops_bkd_constwt115/run2,0.0002,none,1,1,DiceCELoss,false,"1.0,1.0,5.0",none,none,none,complete,194,9,2901,185,77287,0.7832,0.9594,0.0406,0.2168,0.4203,0.9916,0.9531,0.547,2272,3134,74153,629,0.7816,0.131,0.8523,0.0863,0.6854,0.1668,0.7199,0.1239,0.598,0.118,0.7878,0.0611
roi_train2/stage2_numcrops_dicece/run3,0.0002,none,2,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,192,9,2896,183,77610,0.7766,0.9647,0.0353,0.2234,0.4505,0.9914,0.9579,0.5702,2249,2743,74867,647,0.7742,0.14,0.8582,0.0923,0.6946,0.165,0.7211,0.1196,0.5932,0.1149,0.7895,0.0598
roi_train2/stage3_numcrops_bkd_constwt115/run1,0.0002,none,1,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,193,9,2892,184,76995,0.796,0.9575,0.0425,0.204,0.413,0.9921,0.9517,0.5438,2302,3272,73723,590,0.7805,0.1351,0.8518,0.089,0.6804,0.1785,0.7131,0.1279,0.5889,0.1201,0.7875,0.0592
roi_train2_t1/sweep_dicecewts/run1,0.0002,none,1,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,195,9,2848,186,79257,0.7658,0.9647,0.0353,0.2342,0.4379,0.9914,0.9578,0.5572,2181,2800,76457,667,0.7574,0.1415,0.857,0.082,0.678,0.1676,0.7074,0.1333,0.5869,0.1291,0.7949,0.0607
roi_train2/stage3_numcrops_bkd_constwt115/run4,0.0002,none,4,1,DiceCELoss,false,"1.0,1.0,5.0",none,none,none,complete,194,9,2870,185,79322,0.7801,0.9611,0.0389,0.2199,0.4208,0.9918,0.9548,0.5467,2239,3082,76240,631,0.7699,0.138,0.862,0.0919,0.6958,0.1744,0.7138,0.1134,0.5865,0.1028,0.7906,0.0601
roi_train2/stage2_numcrops_dicece/run4,0.0002,none,2,1,DiceCELoss,false,"1.0,1.0,5.0",none,none,none,complete,193,9,2950,184,80077,0.782,0.9671,0.0329,0.218,0.4665,0.9918,0.9605,0.5844,2307,2638,77439,643,0.7668,0.1535,0.8597,0.0951,0.6992,0.1681,0.7152,0.1168,0.5864,0.1061,0.7845,0.0675
roi_train2_t1/test_dicece_lambda/run1,0.0002,none,4,1,DiceCELoss,true,"1.0,1.0,5.0",0.5,1.0,none,complete,196,9,2936,187,81872,0.783,0.9657,0.0343,0.217,0.4499,0.992,0.9593,0.5715,2299,2811,79061,637,0.7622,0.1518,0.8551,0.0913,0.6878,0.1616,0.7097,0.1167,0.5858,0.1048,0.7915,0.0644
roi_train2/stage3_numcrops_bkd_constwt115/run3,0.0002,none,4,1,DiceCELoss,true,"1.0,1.0,5.0",none,none,none,complete,193,9,2878,184,79062,0.7776,0.9629,0.0371,0.2224,0.433,0.9917,0.9564,0.5562,2238,2931,76131,640,0.7662,0.1498,0.8547,0.0982,0.6885,0.1706,0.7079,0.1135,0.5812,0.1059,0.7885,0.0648
roi_train2/stage5_sweep_dicecewt_nbatch/run1,0.0002,none,4,2,DiceCELoss,false,"1.0,1.0,5.0",none,none,none,complete,192,9,2897,183,78056,0.7908,0.9566,0.0434,0.2092,0.4036,0.9919,0.9507,0.5345,2291,3385,74671,606,0.7777,0.1421,0.848,0.1029,0.6844,0.1746,0.7076,0.1077,0.5784,0.0965,0.7845,0.0634
roi_train2/test_dicece_lambda/run1,0.0002,none,4,1,DiceCELoss,true,"1.0,1.0,5.0",0.5,1.0,none,complete,194,9,2900,185,78617,0.7928,0.9618,0.0382,0.2072,0.4338,0.9921,0.9558,0.5607,2299,3001,75616,601,0.7733,0.1505,0.8457,0.0972,0.6828,0.1614,0.7043,0.1039,0.5752,0.0925,0.7806,0.068
